Date,Symbol,Timeframe,Type,Pattern,BRS_Score,Entry,SL,Target,Close,Volume,DeliveryQty,DeliveryPct,DelivSpikeRatio,Daily_RSI
27-07-2026,360ONE,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1136.9,1103.1,1238.3,1132.7,928617,548118,59.03,,55.59
27-07-2026,ABB,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,7434.0,7225.0,8061.0,7327.5,370848,171781,46.32,,53.66
27-07-2026,ABCAPITAL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,401.05,396.0,416.2,400.45,1675500,743366,44.37,,54.14
27-07-2026,ADANIENSOL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1719.6,1678.1,1844.1,1703.3,2632783,1342405,50.99,,63.61
27-07-2026,ADANIENT,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3057.4,3008.1,3205.3,3036.6,636870,165620,26.01,,46.5
27-07-2026,ADANIGREEN,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1418.2,1390.1,1502.5,1399.7,1695918,486300,28.67,,38.71
27-07-2026,ADANIPORTS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1785.0,1752.1,1883.7,1770.4,2266975,1444861,63.74,,40.44
27-07-2026,ADANIPOWER,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,215.75,213.15,223.55,213.96,14546955,5253501,36.11,,42.59
27-07-2026,AMBUJACEM,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,432.85,424.2,458.8,430.95,1140841,381963,33.48,,50.07
27-07-2026,ANGELONE,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,312.5,302.95,341.15,304.2,7603595,3520054,46.29,,33.65
27-07-2026,APLAPOLLO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1864.0,1822.0,1990.0,1849.9,282780,149680,52.93,,56.8
27-07-2026,ASHOKLEY,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,155.26,152.84,162.52,155.06,9544585,5087018,53.3,,48.8
27-07-2026,ASIANPAINT,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2723.9,2664.3,2902.7,2710.2,715239,271777,38.0,,54.37
27-07-2026,ASTRAL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1481.5,1448.1,1581.7,1465.8,385986,131852,34.16,,57.98
27-07-2026,AUBANK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1062.0,1021.0,1185.0,1052.2,5047131,2173580,43.07,,56.66
27-07-2026,AUROPHARMA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1568.9,1531.9,1679.9,1549.4,850225,440070,51.76,,52.02
27-07-2026,AXISBANK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1237.0,1221.6,1283.2,1227.5,5967502,4070389,68.21,,30.98
27-07-2026,BAJAJ-AUTO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,11251.0,11094.0,11722.0,11183.5,270544,142176,52.55,,70.27
27-07-2026,BAJAJFINSV,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1920.0,1885.0,2025.0,1913.0,651274,304983,46.83,,60.77
27-07-2026,BAJFINANCE,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1050.0,1026.6,1120.2,1048.3,7610916,4861021,63.87,,59.05
27-07-2026,BANDHANBNK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,170.64,166.82,182.1,169.43,13639409,4596177,33.7,,31.09
27-07-2026,BANKBARODA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,247.7,241.9,265.1,244.0,14707217,4807796,32.69,,38.78
27-07-2026,BANKINDIA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,145.39,136.55,171.91,137.87,26282058,10991295,41.82,,41.33
27-07-2026,BDL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1263.5,1239.0,1337.0,1256.4,667606,201663,30.21,,41.13
27-07-2026,BEL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,408.45,404.6,420.0,407.15,9683515,5721537,59.09,,44.34
27-07-2026,BHARATFORG,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2189.0,2151.6,2301.2,2181.3,704988,389996,55.32,,59.29
27-07-2026,BHARTIARTL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1917.0,1890.0,1998.0,1905.3,5230299,3777560,72.22,,49.86
27-07-2026,BHEL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,422.4,412.9,450.9,415.95,9042974,4173421,46.15,,55.04
27-07-2026,BIOCON,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,437.55,434.05,448.05,436.25,2570388,1612004,62.71,,57.26
27-07-2026,BPCL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,318.55,313.2,334.6,316.25,5954256,3081614,51.75,,56.42
27-07-2026,BRITANNIA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,5436.5,5343.0,5717.0,5384.5,238867,131701,55.14,,53.65
27-07-2026,BSE,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3586.6,3491.8,3871.0,3536.8,2557303,996519,38.97,,32.37
27-07-2026,CAMS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,790.0,762.0,874.0,785.05,1440127,639892,44.43,,53.09
27-07-2026,CANBK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,129.7,125.78,141.46,127.26,48778366,13433105,27.54,,49.05
27-07-2026,CDSL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1349.0,1326.0,1418.0,1329.0,835504,323141,38.68,,46.16
27-07-2026,CGPOWER,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,885.0,867.7,936.9,877.3,4921275,2517852,51.16,,40.39
27-07-2026,CHOLAFIN,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1804.5,1743.8,1986.6,1785.2,1963093,1159092,59.04,,56.49
27-07-2026,CIPLA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1418.1,1392.8,1494.0,1409.4,1162030,542978,46.73,,45.96
27-07-2026,COALINDIA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,431.0,425.75,446.75,427.5,5241433,3099204,59.13,,38.63
27-07-2026,COCHINSHIP,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1406.8,1387.1,1465.9,1402.3,847899,331964,39.15,,45.8
27-07-2026,COFORGE,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1538.2,1489.4,1684.6,1528.4,3779933,2181894,57.72,,56.08
27-07-2026,COLPAL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2156.0,2088.8,2357.6,2136.6,381885,158412,41.48,,61.73
27-07-2026,CONCOR,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,515.3,469.95,651.35,510.5,13227175,4259417,32.2,,63.2
27-07-2026,CROMPTON,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,252.15,248.05,264.45,249.1,2359921,1327807,56.26,,32.42
27-07-2026,CUMMINSIND,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,5649.5,5589.5,5829.5,5629.5,343112,244484,71.25,,53.74
27-07-2026,DABUR,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,429.05,424.5,442.7,427.35,853775,487461,57.09,,43.98
27-07-2026,DALBHARAT,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1831.9,1683.0,2278.6,1826.5,305803,97577,31.91,,56.55
27-07-2026,DELHIVERY,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,471.3,461.45,500.85,470.0,2718387,1584660,58.29,,43.05
27-07-2026,DIVISLAB,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,7459.0,7220.5,8174.5,7414.0,544701,285601,52.43,,69.14
27-07-2026,DIXON,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,14021.0,13741.0,14861.0,13810.0,205726,53040,25.78,,59.54
27-07-2026,DLF,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,651.95,641.9,682.1,650.9,2658172,1216729,45.77,,51.64
27-07-2026,DMART,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,4074.1,4013.0,4257.4,4027.7,384728,186771,48.55,,44.45
27-07-2026,DRREDDY,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1159.3,1147.2,1195.6,1150.8,1053461,490685,46.58,,24.82
27-07-2026,EICHERMOT,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,7847.0,7648.0,8444.0,7769.5,367549,185272,50.41,,63.15
27-07-2026,ETERNAL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,297.0,281.45,343.65,295.85,48012383,19215160,40.02,,63.72
27-07-2026,EXIDEIND,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,444.4,423.15,508.15,427.0,5848999,3387421,57.91,,55.55
27-07-2026,FEDERALBNK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,357.7,354.3,367.9,356.5,6585012,4583960,69.61,,74.92
27-07-2026,FORTIS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,958.6,939.9,1014.7,942.3,1227263,811302,66.11,,43.54
27-07-2026,GAIL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,174.89,170.11,189.23,174.23,10641180,6941348,65.23,,54.97
27-07-2026,GLENMARK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2220.0,2183.1,2330.7,2196.0,593586,352868,59.45,,42.86
27-07-2026,GMRAIRPORT,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,108.7,107.0,113.8,108.0,10608220,6156199,58.03,,45.43
27-07-2026,GODFRYPHLP,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2248.2,2121.2,2629.2,2210.5,1459627,425237,29.13,,56.41
27-07-2026,GODREJCP,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1075.0,1061.1,1116.7,1073.7,318835,175169,54.94,,53.32
27-07-2026,GODREJPROP,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2086.5,2025.1,2270.7,2078.8,732918,373867,51.01,,57.99
27-07-2026,GRASIM,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3120.0,3086.1,3221.7,3112.4,266078,189279,71.14,,48.43
27-07-2026,GVT&D,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,4338.4,4135.0,4948.6,4202.3,1316155,651304,49.49,,37.45
27-07-2026,HAL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,4644.8,4577.0,4848.2,4619.0,694103,312535,45.03,,63.54
27-07-2026,HAVELLS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1246.9,1230.0,1297.6,1237.4,828132,469558,56.7,,61.95
27-07-2026,HCLTECH,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1303.0,1277.3,1380.1,1295.9,3847049,1971387,51.24,,68.12
27-07-2026,HDFCAMC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2558.0,2515.9,2684.3,2552.4,554072,335874,60.62,,43.28
27-07-2026,HDFCBANK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,747.95,738.1,777.5,739.55,29678752,20696690,69.74,,32.77
27-07-2026,HDFCLIFE,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,558.25,550.9,580.3,552.85,1368559,702341,51.32,,40.47
27-07-2026,HEROMOTOCO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,5125.5,5034.2,5399.4,5113.8,564495,328329,58.16,,58.45
27-07-2026,HINDALCO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,951.25,943.05,975.85,945.25,2035425,1229911,60.43,,39.14
27-07-2026,HINDPETRO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,396.15,386.8,424.2,393.95,7119104,2854585,40.1,,49.76
27-07-2026,HINDUNILVR,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2181.3,2152.4,2268.0,2174.6,698681,395930,56.67,,52.61
27-07-2026,HINDZINC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,541.6,528.0,582.4,529.65,4726406,2027499,42.9,,42.7
27-07-2026,HYUNDAI,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1993.7,1959.8,2095.4,1984.6,338046,157553,46.61,,52.97
27-07-2026,ICICIBANK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1449.0,1428.8,1509.6,1445.7,10608300,7110516,67.03,,63.73
27-07-2026,ICICIGI,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1693.1,1652.0,1816.4,1681.0,904443,428960,47.43,,44.31
27-07-2026,ICICIPRULI,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,510.6,501.9,536.7,509.8,1911594,1198793,62.71,,53.4
27-07-2026,IDEA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,13.26,13.02,13.98,13.06,247499082,47315474,19.12,,33.89
27-07-2026,IDFCFIRSTB,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,88.76,84.7,100.94,84.88,177923165,61724504,34.69,,68.58
27-07-2026,IEX,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,129.49,124.5,144.46,126.77,14091109,5679723,40.31,,57.07
27-07-2026,INDHOTEL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,737.95,728.6,766.0,733.75,1143931,598542,52.32,,56.24
